"DR2IIRON.Code.or.Value","DR2IIRON.Value.Description","DR2IIRON.Count","DR2IIRON.Cumulative","DR2IIRON.Skip.to.Item"
"0 to 59.23","Range of Values",92726,92726,NA
".","Missing",774,93500,NA
