"AUXTCOML.Code.or.Value","AUXTCOML.Value.Description","AUXTCOML.Count","AUXTCOML.Cumulative","AUXTCOML.Skip.to.Item"
"0 to 4.6","Range of Values",1663,1663,NA
"777","Refused",5,1668,NA
"888","Could not obtain",0,1668,NA
".","Missing",139,1807,NA
