"URXDMA.Code.or.Value","URXDMA.Value.Description","URXDMA.Count","URXDMA.Cumulative","URXDMA.Skip.to.Item"
"0.28 to 9890","Range of Values",2794,2794,NA
".","Missing",107,2901,NA
