"BMXTHICR.Code.or.Value","BMXTHICR.Value.Description","BMXTHICR.Count","BMXTHICR.Cumulative","BMXTHICR.Skip.to.Item"
"25.1 to 94.3","Range of Values",7198,7198,NA
".","Missing",2084,9282,NA
