"OHXRRES.Code.or.Value","OHXRRES.Value.Description","OHXRRES.Count","OHXRRES.Cumulative","OHXRRES.Skip.to.Item"
"1","Root restoration(s) detected",284,284,NA
"2","No root restoration(s) detected",3929,4213,NA
"9","Cannot be assessed",4,4217,NA
".","Missing",5381,9598,NA
