"DR2TCARB.Code.or.Value","DR2TCARB.Value.Description","DR2TCARB.Count","DR2TCARB.Cumulative","DR2TCARB.Skip.to.Item"
"0 to 1117.53","Range of Values",7496,7496,NA
".","Missing",1842,9338,NA
