"SSTBBA.Code.or.Value","SSTBBA.Value.Description","SSTBBA.Count","SSTBBA.Cumulative","SSTBBA.Skip.to.Item"
"0.035 to 2.79","Range of Values",2053,2053,NA
".","Missing",1,2054,NA
