"MCQ160A.Code.or.Value","MCQ160A.Value.Description","MCQ160A.Count","MCQ160A.Cumulative","MCQ160A.Skip.to.Item"
"1","Yes",1239,1239,"MCQ180A"
"2","No",3634,4873,""
"7","Refused",0,4873,""
"9","Don't know",7,4880,""
".","Missing",4613,9493,""
