"RXD530.Code.or.Value","RXD530.Value.Description","RXD530.Count","RXD530.Cumulative","RXD530.Skip.to.Item"
"20 to 500","Range of Values",1121,1121,NA
"77777","Refused",0,1121,NA
"99999","Don't know",12,1133,NA
".","Missing",2682,3815,NA
