"AUXLOCOL.Code.or.Value","AUXLOCOL.Value.Description","AUXLOCOL.Count","AUXLOCOL.Cumulative","AUXLOCOL.Skip.to.Item"
"1","Yes (checkbox checked)",3,3,NA
"2","No (checkbox unchecked)",4366,4369,NA
".","Missing",213,4582,NA
