"CIQP13K.Code.or.Value","CIQP13K.Value.Description","CIQP13K.Count","CIQP13K.Cumulative","CIQP13K.Skip.to.Item"
"1","Yes",29,29,NA
"2","No",89,118,NA
"7","Refused",0,118,NA
"9","Don't know",0,118,NA
".","Missing",810,928,NA
