"LBXHPE.Code.or.Value","LBXHPE.Value.Description","LBXHPE.Count","LBXHPE.Cumulative","LBXHPE.Skip.to.Item"
"0.017 to 6.001","Range of Values",1589,1589,NA
".","Missing",685,2274,NA
