"DUQ310Q.Code.or.Value","DUQ310Q.Value.Description","DUQ310Q.Count","DUQ310Q.Cumulative","DUQ310Q.Skip.to.Item"
"0 to 90","Range of Values",73,73,NA
"7777","Refused",2,75,NA
"9999","Don't know",0,75,NA
".","Missing",4550,4625,NA
