"BPXDI4.Code.or.Value","BPXDI4.Value.Description","BPXDI4.Count","BPXDI4.Cumulative","BPXDI4.Skip.to.Item"
"0 to 114","Range of Values",1573,1573,NA
".","Missing",8904,10477,NA
