"LBX156LA.Code.or.Value","LBX156LA.Value.Description","LBX156LA.Count","LBX156LA.Cumulative","LBX156LA.Skip.to.Item"
"1.6 to 62.1","Range of Values",1907,1907,NA
".","Missing",367,2274,NA
