"LBXCRY.Code.or.Value","LBXCRY.Value.Description","LBXCRY.Count","LBXCRY.Cumulative","LBXCRY.Skip.to.Item"
"0.6 to 151","Range of Values",7195,7195,NA
".","Missing",891,8086,NA
