"BIDTD.Code.or.Value","BIDTD.Value.Description","BIDTD.Count","BIDTD.Cumulative","BIDTD.Skip.to.Item"
"-28.335 to 144.044","Range of Values",4606,4606,NA
".","Missing",1343,5949,NA
