"URXDHD.Code.or.Value","URXDHD.Value.Description","URXDHD.Count","URXDHD.Cumulative","URXDHD.Skip.to.Item"
"0.0629 to 332","Range of Values",2736,2736,NA
".","Missing",95,2831,NA
