"WBXA069.Code.or.Value","WBXA069.Value.Description","WBXA069.Count","WBXA069.Cumulative","WBXA069.Skip.to.Item"
"-0.2193 to 1","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
