"OPXSCOMP.Code.or.Value","OPXSCOMP.Value.Description","OPXSCOMP.Count","OPXSCOMP.Cumulative","OPXSCOMP.Skip.to.Item"
"0","No photos",42,42,NA
"1","Incomplete",108,150,NA
"2","Complete",3174,3324,NA
".","Missing",539,3863,NA
