"URXP05.Code.or.Value","URXP05.Value.Description","URXP05.Count","URXP05.Cumulative","URXP05.Skip.to.Item"
"3.5 to 11027.9","Range of Values",2448,2448,NA
".","Missing",190,2638,NA
