"LBDTCSI.Code.or.Value","LBDTCSI.Value.Description","LBDTCSI.Count","LBDTCSI.Cumulative","LBDTCSI.Skip.to.Item"
"1.14 to 11.9","Range of Values",7387,7387,NA
".","Missing",745,8132,NA
