"LBXSASSI.Code.or.Value","LBXSASSI.Value.Description","LBXSASSI.Count","LBXSASSI.Cumulative","LBXSASSI.Skip.to.Item"
"8 to 832","Range of Values",6256,6256,NA
".","Missing",488,6744,NA
