"DUQ211.Code.or.Value","DUQ211.Value.Description","DUQ211.Count","DUQ211.Cumulative","DUQ211.Skip.to.Item"
"1","Yes",952,952,NA
"2","No",989,1941,NA
"7","Refused",2,1943,NA
"9","Don't know",2,1945,NA
".","Missing",3357,5302,NA
