"RHQ560Q.Code.or.Value","RHQ560Q.Value.Description","RHQ560Q.Count","RHQ560Q.Cumulative","RHQ560Q.Skip.to.Item"
"1 to 57","Range of Values",384,384,NA
"77","Refused",0,384,NA
"99","Don't know",5,389,NA
".","Missing",3175,3564,NA
