"DR2IS160.Code.or.Value","DR2IS160.Value.Description","DR2IS160.Count","DR2IS160.Cumulative","DR2IS160.Skip.to.Item"
"0 to 56.75","Range of Values",128570,128570,NA
".","Missing",571,129141,NA
