"DXDLLLE.Code.or.Value","DXDLLLE.Value.Description","DXDLLLE.Count","DXDLLLE.Cumulative","DXDLLLE.Skip.to.Item"
"1431.2 to 18663.2","Range of Values",4865,4865,NA
".","Missing",915,5780,NA
