"LBDTC2LC.Code.or.Value","LBDTC2LC.Value.Description","LBDTC2LC.Count","LBDTC2LC.Cumulative","LBDTC2LC.Skip.to.Item"
"0","At or above the detection limit",205,205,NA
"1","Below lower detection limit",41,246,NA
".","Missing",18,264,NA
