"DED071.Code.or.Value","DED071.Value.Description","DED071.Count","DED071.Cumulative","DED071.Skip.to.Item"
"1","Yes",207,207,NA
"2","No",171,378,NA
"7","Refused",0,378,NA
"9","Don't know",0,378,NA
".","Missing",2762,3140,NA
