"WTDRD1.Code.or.Value","WTDRD1.Value.Description","WTDRD1.Count","WTDRD1.Cumulative","WTDRD1.Skip.to.Item"
"2760.0726322 to 239185.8759","Range of Values",2822,2822,NA
".","Missing",47,2869,NA
