"DR2IP204.Code.or.Value","DR2IP204.Value.Description","DR2IP204.Count","DR2IP204.Cumulative","DR2IP204.Skip.to.Item"
"0 to 0.958","Range of Values",111494,111494,NA
".","Missing",607,112101,NA
