"DS1IPHOS.Code.or.Value","DS1IPHOS.Value.Description","DS1IPHOS.Count","DS1IPHOS.Cumulative","DS1IPHOS.Skip.to.Item"
"0.08 to 665","Range of Values",696,696,NA
".","Missing",4674,5370,NA
