"DR2IP205.Code.or.Value","DR2IP205.Value.Description","DR2IP205.Count","DR2IP205.Cumulative","DR2IP205.Skip.to.Item"
"0 to 2.525","Range of Values",120077,120077,NA
".","Missing",794,120871,NA
