"CVDEXMER.Code.or.Value","CVDEXMER.Value.Description","CVDEXMER.Count","CVDEXMER.Cumulative","CVDEXMER.Skip.to.Item"
"10 to 90","Range of Values",4602,4602,NA
".","Missing",0,4602,NA
