"OSQ090b.Code.or.Value","OSQ090b.Value.Description","OSQ090b.Count","OSQ090b.Cumulative","OSQ090b.Skip.to.Item"
"1","Yes",213,213,"OSQ120b"
"2","No",62,275,""
"7","Refused",0,275,"OSQ120b"
"9","Don't know",0,275,"OSQ120b"
".","Missing",5943,6218,""
