"AUQ190.Code.or.Value","AUQ190.Value.Description","AUQ190.Count","AUQ190.Cumulative","AUQ190.Skip.to.Item"
"1","Yes",1277,1277,""
"2","No",4116,5393,"AUQ210"
"7","Refused",2,5395,"AUQ210"
"9","Don't know",12,5407,"AUQ210"
".","Missing",5063,10470,""
