"LBXVBF.Code.or.Value","LBXVBF.Value.Description","LBXVBF.Count","LBXVBF.Cumulative","LBXVBF.Skip.to.Item"
"0.3861 to 310","Range of Values",1310,1310,NA
".","Missing",179,1489,NA
