"PSQ200C.Code.or.Value","PSQ200C.Value.Description","PSQ200C.Count","PSQ200C.Cumulative","PSQ200C.Skip.to.Item"
"1","Yes",0,0,NA
"2","No",2,2,NA
"7","Refused",0,2,NA
"9","Don't know",0,2,NA
".","Missing",119,121,NA
