"DRD350C.Code.or.Value","DRD350C.Value.Description","DRD350C.Count","DRD350C.Cumulative","DRD350C.Skip.to.Item"
"1","Yes",199,199,""
"2","No",3562,3761,"DRD350D"
".","Missing",6052,9813,""
