"DR1TLYCO.Code.or.Value","DR1TLYCO.Value.Description","DR1TLYCO.Count","DR1TLYCO.Cumulative","DR1TLYCO.Skip.to.Item"
"0 to 185358","Range of Values",8389,8389,NA
".","Missing",949,9338,NA
