"DS2TSUGR.Code.or.Value","DS2TSUGR.Value.Description","DS2TSUGR.Count","DS2TSUGR.Cumulative","DS2TSUGR.Skip.to.Item"
"0 to 36","Range of Values",419,419,NA
".","Missing",9343,9762,NA
