"RFXC132.Code.or.Value","RFXC132.Value.Description","RFXC132.Count","RFXC132.Cumulative","RFXC132.Skip.to.Item"
"-6.979 to 7.33","Range of Values",33679,33679,NA
".","Missing",42,33721,NA
