"DS1TIRON.Code.or.Value","DS1TIRON.Value.Description","DS1TIRON.Count","DS1TIRON.Cumulative","DS1TIRON.Skip.to.Item"
"0.068 to 500","Range of Values",840,840,NA
".","Missing",8973,9813,NA
