"SMD100TR.Code.or.Value","SMD100TR.Value.Description","SMD100TR.Count","SMD100TR.Cumulative","SMD100TR.Skip.to.Item"
"2 to 24","Range of Values",828,828,NA
".","Missing",6340,7168,NA
