"LBXSCA.Code.or.Value","LBXSCA.Value.Description","LBXSCA.Count","LBXSCA.Cumulative","LBXSCA.Skip.to.Item"
"7.3 to 11.5","Range of Values",6257,6257,NA
".","Missing",487,6744,NA
