"BPXSY1.Code.or.Value","BPXSY1.Value.Description","BPXSY1.Count","BPXSY1.Cumulative","BPXSY1.Skip.to.Item"
"72 to 240","Range of Values",6274,6274,NA
".","Missing",3369,9643,NA
