"OSQ090e.Code.or.Value","OSQ090e.Value.Description","OSQ090e.Count","OSQ090e.Cumulative","OSQ090e.Skip.to.Item"
"1","Yes",16,16,"OSQ120e"
"2","No",8,24,""
"7","Refused",0,24,"OSQ120e"
"9","Don't know",0,24,"OSQ120e"
".","Missing",5911,5935,""
