"WBXP036.Code.or.Value","WBXP036.Value.Description","WBXP036.Count","WBXP036.Cumulative","WBXP036.Skip.to.Item"
"-167.1804 to 168.5391","Range of Values",8551,8551,NA
".","Missing",3,8554,NA
