"DR2IS120.Code.or.Value","DR2IS120.Value.Description","DR2IS120.Count","DR2IS120.Cumulative","DR2IS120.Skip.to.Item"
"0 to 29.493","Range of Values",120077,120077,NA
".","Missing",794,120871,NA
