"DSQTPOTA.Code.or.Value","DSQTPOTA.Value.Description","DSQTPOTA.Count","DSQTPOTA.Cumulative","DSQTPOTA.Skip.to.Item"
"0 to 3200","Range of Values",1389,1389,NA
".","Missing",9148,10537,NA
