"HOD160.Code.or.Value","HOD160.Value.Description","HOD160.Count","HOD160.Cumulative","HOD160.Skip.to.Item"
"1","Yes",264,264,""
"2","No",1041,1305,"HOD190"
"7","Refused",0,1305,"HOD190"
"9","Don't know",3,1308,"HOD190"
".","Missing",9731,11039,""
