"DR2IM221.Code.or.Value","DR2IM221.Value.Description","DR2IM221.Count","DR2IM221.Cumulative","DR2IM221.Skip.to.Item"
"0 to 6.199","Range of Values",111931,111931,NA
".","Missing",647,112578,NA
