"ORXH73.Code.or.Value","ORXH73.Value.Description","ORXH73.Count","ORXH73.Cumulative","ORXH73.Skip.to.Item"
"1","Positive",4,4,NA
"2","Negative",4843,4847,NA
"3","Not evaluated",455,5302,NA
".","Missing",0,5302,NA
