"AUDTYR79.Code.or.Value","AUDTYR79.Value.Description","AUDTYR79.Count","AUDTYR79.Cumulative","AUDTYR79.Skip.to.Item"
"0 to 0.41","Range of Values",1140,1140,NA
".","Missing",70,1210,NA
