"LBDSELSI.Code.or.Value","LBDSELSI.Value.Description","LBDSELSI.Count","LBDSELSI.Cumulative","LBDSELSI.Skip.to.Item"
"0.42 to 2.29","Range of Values",1186,1186,NA
".","Missing",7646,8832,NA
