"RFXC030.Code.or.Value","RFXC030.Value.Description","RFXC030.Count","RFXC030.Cumulative","RFXC030.Skip.to.Item"
"-8.215 to 5.387","Range of Values",33708,33708,NA
".","Missing",13,33721,NA
