"VIXOLSM.Code.or.Value","VIXOLSM.Value.Description","VIXOLSM.Count","VIXOLSM.Cumulative","VIXOLSM.Skip.to.Item"
"-19.75 to 11","Range of Values",6264,6264,NA
"88","Could not obtain",229,6493,NA
".","Missing",497,6990,NA
