"PFQ061K.Code.or.Value","PFQ061K.Value.Description","PFQ061K.Count","PFQ061K.Cumulative","PFQ061K.Skip.to.Item"
"1","No difficulty",2646,2646,NA
"2","Some difficulty",175,2821,NA
"3","Much difficulty",41,2862,NA
"4","Unable to do",8,2870,NA
"5","Do not do this activity",1,2871,NA
"7","Refused",0,2871,NA
"9","Don't know",1,2872,NA
".","Missing",6794,9666,NA
