"DSD128JJ.Code.or.Value","DSD128JJ.Value.Description","DSD128JJ.Count","DSD128JJ.Cumulative","DSD128JJ.Skip.to.Item"
"44","FOR WEIGHT GAIN",5,5,NA
".","Missing",8264,8269,NA
