"RFXC127.Code.or.Value","RFXC127.Value.Description","RFXC127.Count","RFXC127.Cumulative","RFXC127.Skip.to.Item"
"-6.405 to 6.547","Range of Values",51056,51056,NA
".","Missing",20,51076,NA
