"CBD120.Code.or.Value","CBD120.Value.Description","CBD120.Count","CBD120.Cumulative","CBD120.Skip.to.Item"
"0 to 3000","Range of Values",9473,9473,NA
"777777","Refused",10,9483,NA
"999999","Don't know",222,9705,NA
".","Missing",51,9756,NA
