"DXXOFBMD.Code.or.Value","DXXOFBMD.Value.Description","DXXOFBMD.Count","DXXOFBMD.Cumulative","DXXOFBMD.Skip.to.Item"
"0.378 to 1.821","Range of Values",6076,6076,NA
".","Missing",1644,7720,NA
