"BPQ090B.Code.or.Value","BPQ090B.Value.Description","BPQ090B.Count","BPQ090B.Cumulative","BPQ090B.Skip.to.Item"
"1","Yes",1189,1189,NA
"2","No",681,1870,NA
"7","Refused",0,1870,NA
"9","Don't know",5,1875,NA
".","Missing",5014,6889,NA
