"DS2IVB1.Code.or.Value","DS2IVB1.Value.Description","DS2IVB1.Count","DS2IVB1.Cumulative","DS2IVB1.Skip.to.Item"
"0.005 to 1500","Range of Values",1400,1400,NA
".","Missing",4299,5699,NA
